id;danceability;energy;song_key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;tempo;duration_ms;time_signature;featured;track;artists_cleaned;featured_artist_cleaned;duration_s;duration_m
6hFwju6M40CKovKBPu5IpY;0.87599998712539673;0.35899999737739563;11;-11.168999671936035;False;0.34099999070167542;0.18700000643730164;1.7099999922720599E-6;0.66600000858306885;124.01599884033203;173085;4;0;acorda pedrinho;jovem dionisio;;173;2.88
6hH6QJ9ZAO0Z6m7PfvLoXW;0.78799998760223389;0.40000000596046448;2;-6.4539999961853027;True;0.11500000208616257;0.45399999618530273;1.4099999680183828E-4;6.8599998950958252E-2;97.935997009277344;122227;4;0;chicken teriyaki;rosalía;;122;2.04
6HJIZUOiZDE814XMhRGSZN;0.70800000429153442;0.44900000095367432;4;-4.3689999580383301;False;2.8599999845027924E-2;0.45100000500679016;0;0.11100000143051147;84.396003723144531;214000;1;0;soy el unico;yahritza y su esencia;;214;3.57
6HMtHNpW6YPi1hrw9tgF8P;0.83600002527236938;0.74299997091293335;10;-6.304999828338623;False;6.5300002694129944E-2;9.7400002181529999E-2;0;0.33500000834465027;108.96499633789063;191938;4;0;about damn time;lizzo;;191;3.20
6HU7h9RYOaPRFeh0R3UeAr;0.44200000166893005;0.6119999885559082;2;-7.2220001220703125;True;0.1120000034570694;0.58399999141693115;5.7000002016138751E-6;0.37000000476837158;180.91700744628906;215507;4;0;deja vu;olivia rodrigo;;215;3.59
6i1g5ZRmJZAkDwBaUZ3f2i;0.70399999618530273;0.75599998235702515;0;-4.9479999542236328;True;0.44800001382827759;0.29800000786781311;3.7499999052670319E-6;8.5199996829032898E-2;121.73699951171875;141340;3;0;caile;luar la l;;141;2.36
6I3mqTwhRpn34SLVafSH7G;0.60100001096725464;0.74099999666213989;2;-5.5689997673034668;True;4.7800000756978989E-2;0.18500000238418579;2.9099999665049836E-5;0.41499999165534973;153.96000671386719;153190;4;0;ghost;justin bieber;;153;2.55
6IAZHEBUIGJ6NJKxxOBIEr;0.73000001907348633;0.76899999380111694;8;-5.1139998435974121;True;2.9799999669194221E-2;0.1379999965429306;0;4.7299999743700027E-2;104.947998046875;228093;4;0;rolling in the deep;adele;;228;3.80
6Jkm5kUldvIqxzI1Pa7nXH;0.54400002956390381;0.78600001335144043;8;-2.9700000286102295;True;5.0099998712539673E-2;9.9099995568394661E-3;0;0.16899999976158142;153.96699523925781;157138;4;0;10 things i hate about you;leah kate;;157;2.62
6Jrdb6CFOJEGaHjaa6c4WR;0.78299999237060547;0.75;5;-5.7620000839233398;True;7.8000001609325409E-2;0.42599999904632568;0;0.24099999666213989;97.9530029296875;140665;4;1;idgaf;boywithuke;(with blackbear);140;2.34
6K5ph5mq1qprHae3TrgTj5;0.65200001001358032;0.58300000429153442;2;-8.3020000457763672;True;0.32199999690055847;1.6499999910593033E-2;1.6499999446750735E-6;4.1999999433755875E-2;180.04200744628906;202227;4;0;surface pressure - from "encanto"/soundtrack version;jessica darrow;;202;3.37
6Kfoo60npYPdvNxMPMiDpX;0.74400001764297485;0.62800002098083496;2;-5.434999942779541;True;2.8699999675154686E-2;4.9300000071525574E-2;0;0.31700000166893005;119.96600341796875;193565;4;0;wrapped around your finger;post malone;;193;3.23
6krYS8KtmNAYyb5uTZiYW4;0.2800000011920929;0.4779999852180481;9;-8.755000114440918;False;3.7000000476837158E-2;0.67400002479553223;5.8500001614447683E-5;0.4830000102519989;111.65000152587891;96240;4;0;dawn fm;the weeknd;;96;1.60
6kxaaIeowajN7w21PfMLbu;0.57599997520446777;0.62699997425079346;3;-4.6490001678466797;False;4.4900000095367432E-2;3.8499999791383743E-2;0;0.1809999942779541;164.99800109863281;176059;4;0;so good;halsey;;176;2.93
6kYGOFNUMxpab09L5Ukoke;0.85199999809265137;0.42100000381469727;10;-9.1529998779296875;False;0.20800000429153442;0.42800000309944153;2.2799999896960799E-6;0.10599999874830246;95.976997375488281;202285;4;0;rich spirit;kendrick lamar;;202;3.37
6LtHYDgYHRCHoKK3snfr2w;0.375;0.13300000131130219;0;-10.62399959564209;False;3.5199999809265137E-2;0.65100002288818359;0;6.9499999284744263E-2;131.72099304199219;187944;4;1;i’m tired;labrinth;(with zendaya);187;3.13
6lX6l7OuA3qrnIRfdsr0dw;0.78700000047683716;0.69999998807907104;4;-4.5980000495910645;False;0.07680000364780426;0.56800001859664917;5.0999998347833753E-4;0.66299998760223389;90.019996643066406;233453;4;1;medallo;blessd;(feat. justin quiles, lenny tavárez);233;3.89
